Customer ID,Age,Gender,Location, Income ,Marital Status,Purchase Frequency (Past 6 Months), Average Order Value ,Preferred Product Categories,Last Purchase Date,Return Rate, Customer Lifetime Value (CLV) , Average Star Rating ,NPS Score
C000019,44,Male, Memphis,"$230,000",Single,2,129000,Locket,21-07-23,0,1032000,5.4,59.88
C000080,30,Male, Detroit,"$100,000",Single,1,82000,Necklace,09-09-23,0,410000,6.4,70.25
C000350,31,Female, St Louis,"$280,000",Married,5,112000,Bracelet,21-06-23,0,2240000,3.4,41.15
C000382,29,Female, Jacksonville,"$160,000",Married,3,46000,Pendant,31-08-23,0.09,276000,7.7,80.76
C000418,21,Male, Nashville,"$160,000",Single,1,6000,Pendant,29-05-23,0,6000,5.7,65.34
C000499,35,Male, Virginia Beach,"$80,000",Married,1,20000,Locket,05-12-23,0,100000,5.5,63.78
C000514,28,Female, Long Beach,"$240,000",Married,2,125000,Bracelet,22-05-23,0,1000000,4.9,56.05
C000535,49,Female, Los Angeles,"$200,000",Married,3,44000,Locket,28-04-23,0.03,264000,5.2,60.49
C000538,44,Male, Austin,"$270,000",Married,3,157000,Pendant,19-06-23,0,2355000,4.4,48.31
C000800,30,Male, Memphis,"$90,000",Married,2,1126,Ring,07-09-23,0,11260,5.6,64.77
C000805,33,Female, Norfolk,"$290,000",Single,7,163000,Pendant,14-11-23,0,4564000,3,31.3
C000972,31,Male, Las Vegas,"$50,000",Single,1,19000,Armlet,22-06-23,0,57000,5.9,66.65
C001056,34,Female, Portland,"$160,000",Married,2,51000,Bracelet,27-05-23,0,102000,5.1,60.55
C001342,19,Male, Mesa,"$90,000",Married,2,3327,Necklace,20-11-23,0,13308,6.7,73.68
C001408,34,Female, Riverside,"$220,000",Single,5,102000,Jewel,04-11-23,0,2040000,2.9,37.51
C001467,19,Male, Fort Worth,"$220,000",Single,2,211000,Necklace,29-04-23,0.02,2110000,4.9,53.47
C001486,36,Female, Miami,"$220,000",Married,3,160000,Earrings,15-07-23,0,480000,4.6,55.33
C001532,49,Male, Omaha,"$100,000",Single,1,69000,Ring,11-04-23,0,138000,6.9,74.91
C001605,58,Male, Houston,"$160,000",Single,1,5000,Necklace,19-11-23,0,20000,7.1,76.95
C001855,42,Male, Nashville,"$210,000",Single,4,125000,Ring,04-10-23,0,1000000,3.3,43.87
C001870,34,Male, Denver,"$290,000",Single,2,3479,Bracelet,26-07-23,0,13916,5.7,65.85
C001882,21,Male, Greensboro,"$160,000",Married,1,86000,Armlet,21-06-23,0,258000,5.8,65.29
C001883,57,Female, Long Beach,"$290,000",Married,7,48000,Earrings,29-04-23,0,672000,2.5,37.85
C001886,50,Female, Fort Worth,"$300,000",Married,7,13000,Necklace,20-07-23,0,91000,3.5,47.65
C002223,36,Male, New York,"$110,000",Married,2,61000,Pendant,15-08-23,0,366000,5.7,64.93
C002281,51,Female, Portland,"$250,000",Single,3,129000,Pendant,29-07-23,0,1548000,4.8,54.21
C002398,48,Male, Newark,"$190,000",Married,4,118000,Jewel,16-04-23,0,944000,3.4,44.73
C002801,27,Female, Chicago,"$180,000",Married,3,146000,Jewel,03-12-23,0,2190000,3.6,42.52
C003031,42,Male, Raleigh,"$50,000",Single,1,4000,Earrings,28-05-23,0,4000,5.7,65.3
C003070,57,Male, Detroit,"$300,000",Single,6,269000,Pendant,24-05-23,0,1614000,1.4,26.33
C003165,40,Female, Seattle,"$270,000",Married,5,127000,Earrings,10-11-23,0,3175000,4.3,45.15
C003220,24,Female, Wichita,"$100,000",Single,1,17000,Earrings,10-12-23,0,34000,6.8,74.23
C003353,40,Female, Greensboro,"$250,000",Single,4,96000,Armlet,13-03-23,0,768000,3.3,43.91
C003439,49,Male, Atlanta,"$200,000",Married,5,149000,Necklace,20-03-23,0.09,745000,4.7,55.21
C003539,24,Male, Boston,"$110,000",Single,2,50000,Jewel,12-08-23,0.01,200000,7,75.34
C003888,54,Male, Seattle,"$50,000",Married,1,8000,Armlet,30-06-23,0,32000,5.9,67.38
C004118,56,Female, Cincinnati,"$300,000",Single,3,272000,Armlet,16-06-23,0,816000,3.9,48.79
C004312,58,Male, Raleigh,"$130,000",Married,1,39000,Ring,11-10-23,0,156000,7,75.59
C004337,42,Male, Raleigh,"$120,000",Single,1,95000,Ring,25-07-23,0,285000,6,67.39
C004551,51,Female, Fresno,"$90,000",Married,2,43000,Bracelet,08-08-23,0,258000,5.7,65.16
C004598,34,Male, Raleigh,"$180,000",Married,1,131000,Armlet,18-11-23,0,262000,6.9,74.82
C004696,56,Female, San Francisco,"$80,000",Single,2,2000,Pendant,11-03-23,0.01,16000,6.8,74.56
C004728,53,Female, Minneapolis,"$180,000",Single,2,154000,Necklace,14-05-23,0.04,616000,5.7,63.98
C004810,54,Female, Boston,"$110,000",Married,1,72000,Earrings,06-01-23,0.09,144000,7.9,82.43
C004815,27,Female, Albuquerque,"$90,000",Married,2,48000,Pendant,20-05-23,0,480000,5.1,59.07
C004959,21,Male, Colorado Springs,"$170,000",Single,2,25000,Earrings,07-07-23,0,50000,5.5,64.01
C005107,42,Female, Milwaukee,"$300,000",Married,2,218000,Ring,21-04-23,0,436000,4.4,53.58
C005125,36,Male, Phoenix,"$100,000",Married,2,62000,Jewel,23-09-23,0,372000,6.1,67.5
C005177,43,Female, Oklahoma City,"$100,000",Single,1,71000,Bracelet,11-03-23,0,71000,6.9,75.01
C005225,35,Male, Miami,"$60,000",Single,1,20000,Necklace,06-09-23,0,100000,5.7,65.65
C005454,45,Male, Fort Worth,"$90,000",Married,2,41000,Bracelet,16-06-23,0,328000,5.3,61.46
C005644,57,Male, Fresno,"$260,000",Married,1,199000,Necklace,09-01-23,0.03,995000,7,72.77
C005657,45,Female, Kansas City,"$120,000",Married,3,90000,Ring,10-11-23,0,1080000,5.6,61.77
C005736,29,Female, Louisville,"$200,000",Married,4,105000,Earrings,03-10-23,0,420000,3.2,44.32
C005757,59,Male, Nashville,"$240,000",Married,6,238000,Locket,08-08-23,0,4284000,2.3,25.78
C005941,53,Female, Tampa,"$260,000",Married,2,2441,Earrings,12-12-23,0,4882,6.9,75.2
C005947,52,Male, Fort Worth,"$130,000",Single,2,9000,Earrings,17-06-23,0,90000,5.4,62.9
C006274,55,Female, Tucson,"$90,000",Married,1,47000,Necklace,31-03-23,0,141000,5.1,60.56
C006655,46,Male, Wichita,"$50,000",Single,1,6000,Pendant,18-03-23,0,18000,5.1,60.49
C006805,41,Female, Raleigh,"$230,000",Single,4,1141,Necklace,22-12-23,0,13692,6.2,69.18
C006816,34,Female, Philadelphia,"$290,000",Single,3,246000,Locket,30-11-23,0,1476000,5.4,58.91
C006949,33,Male, Oklahoma City,"$280,000",Married,7,63000,Locket,30-08-23,0.01,882000,3.6,46.34
C006990,25,Male, Fresno,"$60,000",Single,1,6000,Necklace,15-10-23,0,6000,6.8,74.63
C007020,30,Male, Sacramento,"$220,000",Single,2,117000,Locket,29-07-23,0.03,1170000,6.2,66.28
C007038,55,Female, Sacramento,"$300,000",Single,1,82000,Jewel,13-08-23,0,410000,6.2,68.44
C007040,37,Female, Omaha,"$300,000",Married,2,186000,Armlet,09-06-23,0,1860000,5.6,59.42
C007105,45,Female, Denver,"$260,000",Married,1,258000,Armlet,24-10-23,0,774000,6.6,70.31
C007208,55,Male, Tucson,"$240,000",Married,4,20000,Pendant,05-06-23,0,80000,4.1,52.78
C007248,50,Male, Orlando,"$90,000",Single,2,71000,Jewel,12-11-23,0,426000,6.7,72.44
C007286,41,Male, Raleigh,"$60,000",Married,1,29000,Earrings,16-04-23,0,116000,5.3,61.9
C007487,53,Male, Tulsa,"$290,000",Married,4,241000,Necklace,09-02-23,0,3856000,3.9,40.36
C007658,52,Male, Columbus,"$170,000",Single,1,113000,Jewel,14-07-23,0,226000,5.9,66.62
C007864,46,Male, San Antonio,"$60,000",Married,1,44000,Locket,23-08-23,0,132000,6.3,70.32
C008115,27,Female, Memphis,"$60,000",Married,1,2686,Armlet,23-04-23,0,2686,5.4,62.97
C008210,25,Female, Philadelphia,"$180,000",Single,2,141000,Bracelet,22-11-23,0,1128000,6.4,67.64
C008215,35,Male, Fort Worth,"$280,000",Single,3,65000,Necklace,19-03-23,0,390000,4,50.78
C008248,33,Female, Riverside,"$230,000",Single,3,222000,Ring,21-04-23,0,1998000,3.6,43.28
C008364,21,Male, San Antonio,"$210,000",Married,2,2825,Locket,10-01-23,0.05,22600,7.5,80.32
C008561,20,Male, San Diego,"$80,000",Married,2,31000,Necklace,13-04-23,0,62000,4.8,58.16
C008677,41,Male, Wichita,"$230,000",Married,2,160000,Necklace,14-09-23,0.03,960000,6.5,69.1
C008874,38,Female, Indianapolis,"$60,000",Single,1,56000,Pendant,04-01-23,0,280000,5.1,60.13
C009010,43,Male, Tucson,"$70,000",Married,1,12000,Necklace,11-04-23,0.02,48000,7.5,79.79
C009077,60,Male, Philadelphia,"$200,000",Married,2,79000,Earrings,30-11-23,0,632000,6.6,70.94
C009141,18,Female, Albuquerque,"$130,000",Single,1,24000,Ring,24-06-23,0,48000,5.9,66.76
C009375,22,Female, Sacramento,"$270,000",Single,5,178000,Bracelet,17-08-23,0,3560000,3.5,37.61
C009481,27,Male, Albuquerque,"$170,000",Single,3,145000,Armlet,05-01-23,0,435000,4,50.92
C009665,49,Male, Raleigh,"$60,000",Married,1,45000,Necklace,28-09-23,0,45000,6.6,72.96
C009724,60,Male, Long Beach,"$170,000",Married,1,125000,Ring,08-02-23,0,625000,6.1,66.62
C009756,44,Male, Raleigh,"$240,000",Single,5,15000,Armlet,06-07-23,0,225000,4,51.23
C009790,53,Male, Newark,"$100,000",Married,1,20000,Armlet,26-11-23,0,60000,7.2,77.14
C009813,36,Female, Atlanta,"$170,000",Single,4,2887,Earrings,16-11-23,0,34644,5.8,66.63
C010098,39,Female, Wichita,"$120,000",Married,1,115000,Bracelet,06-11-23,0,575000,5.6,63.4
C010167,19,Male, Austin,"$80,000",Single,2,43000,Locket,27-04-23,0,86000,4.9,58.77
C010222,30,Female, Tampa,"$240,000",Married,2,129000,Ring,27-09-23,0.07,258000,7.7,80.65
C010348,28,Male, Dallas,"$170,000",Single,4,136000,Ring,07-11-23,0,2176000,4.1,46.18
C010361,60,Male, Milwaukee,"$280,000",Single,7,264000,Locket,19-11-23,0,3696000,2.1,26.47
C010662,53,Female, Tulsa,"$210,000",Married,3,50000,Bracelet,17-06-23,0,150000,4.8,57.97
C010861,18,Male, Riverside,"$50,000",Single,1,42000,Necklace,12-06-23,0,126000,7.2,77.38
C010939,22,Male, Orlando,"$290,000",Single,1,213000,Pendant,05-01-23,0.02,1065000,5.7,62.19
C010957,42,Male, Phoenix,"$120,000",Single,2,6000,Earrings,31-07-23,0,36000,5.8,66.07
C011159,18,Female, Cincinnati,"$200,000",Married,2,100000,Armlet,07-07-23,0,200000,5.3,61.96
C011278,32,Male, Pittsburgh,"$270,000",Married,5,134000,Earrings,20-12-23,0,2010000,4.8,52.79
C011473,50,Female, Austin,"$220,000",Single,2,174000,Armlet,08-04-23,0,1740000,5.4,57.82
C011586,45,Male, Minneapolis,"$90,000",Single,2,70000,Earrings,16-11-23,0,280000,6.5,71.21
C011663,27,Male, Houston,"$210,000",Married,2,170000,Jewel,27-09-23,0,1360000,5.8,62.6
C011728,19,Female, El Paso,"$300,000",Single,7,174000,Jewel,20-12-23,0,6090000,3.2,28.51
C011999,19,Female, New York,"$140,000",Married,1,110000,Bracelet,03-09-23,0,220000,4.9,58.18
C012175,49,Male, Indianapolis,"$80,000",Married,1,582,Necklace,29-05-23,0,2910,5.7,65.4
C012246,24,Female, Charlotte,"$200,000",Married,4,143000,Bracelet,16-05-23,0,1716000,3.5,43.44
C012300,37,Female, Houston,"$280,000",Married,5,194000,Bracelet,09-06-23,0,970000,3.5,45.5
C012375,25,Male, Oklahoma City,"$280,000",Married,5,85000,Necklace,05-04-23,0,850000,3.2,43.38
C012462,18,Male, Nashville,"$210,000",Single,2,92000,Necklace,17-08-23,0,368000,5.7,64.39
C012481,33,Male, Oklahoma City,"$280,000",Married,2,29000,Jewel,30-04-23,0,116000,4.9,59.19
C012667,34,Male, Virginia Beach,"$260,000",Married,2,103000,Pendant,20-04-23,0,618000,4.7,55.48
C012772,47,Female, Columbus,"$60,000",Single,1,770,Jewel,20-09-23,0,2310,6.6,73.03
C013035,38,Male, Riverside,"$190,000",Married,4,88000,Armlet,08-06-23,0,1056000,4.5,53.2
C013086,24,Female, Mesa,"$190,000",Married,2,145000,Necklace,15-12-23,0,580000,6.5,70.66
C013091,50,Male, Charlotte,"$200,000",Single,2,135000,Necklace,25-03-23,0.08,1080000,6.4,67.72
C013092,30,Male, Phoenix,"$250,000",Single,1,1644,Necklace,12-10-23,0,3288,7.3,78.43
C013153,58,Female, Houston,"$160,000",Married,1,85000,Necklace,20-03-23,0.03,255000,5.7,65.09
C013331,28,Male, Houston,"$160,000",Single,2,90000,Locket,16-03-23,0,360000,4.4,54.16
C013358,40,Female, Fort Worth,"$250,000",Married,5,49000,Ring,08-01-23,0,1225000,4.2,50.21
C013518,55,Male, Norfolk,"$100,000",Married,1,28000,Ring,22-07-23,0,112000,6.1,68.41
C013704,38,Female, San Antonio,"$270,000",Married,2,20000,Necklace,29-07-23,0,40000,5.7,65.62
C013765,24,Male, Minneapolis,"$290,000",Married,5,114000,Earrings,18-07-23,0,570000,3.7,47.63
C014004,53,Male, Wichita,"$100,000",Single,1,9000,Necklace,04-04-23,0,36000,5.2,61.54
C014316,21,Male, Orlando,"$290,000",Married,3,249000,Ring,15-03-23,0,3735000,3.2,34.95
C014473,57,Female, Fresno,"$300,000",Single,1,213000,Armlet,09-02-23,0.01,1065000,6.4,68.48
C014709,21,Male, Fresno,"$270,000",Married,4,115000,Bracelet,22-05-23,0,1380000,3.7,46.02
C014777,24,Female, San Antonio,"$140,000",Married,3,133000,Necklace,19-12-23,0,798000,6,65.79
C014856,49,Female, Charlotte,"$50,000",Single,1,23000,Locket,13-09-23,0.02,23000,7,76.26
C014950,49,Female, Philadelphia,"$120,000",Married,1,34000,Armlet,30-12-23,0,34000,7.4,79.33
C015059,25,Male, Minneapolis,"$60,000",Married,1,48000,Necklace,26-11-23,0,48000,7.1,76.87
C015163,39,Male, San Antonio,"$90,000",Single,2,71000,Necklace,08-06-23,0,426000,5.6,63.94
C015302,48,Male, Columbus,"$130,000",Married,3,103000,Ring,06-06-23,0,309000,4.5,55.06
C015348,41,Female, Newark,"$220,000",Married,1,11000,Armlet,28-04-23,0,44000,5.4,63.1
C015365,50,Female, Philadelphia,"$160,000",Single,3,57000,Ring,14-08-23,0,171000,5.3,61.56
C015414,49,Male, San Antonio,"$270,000",Single,6,78000,Bracelet,23-04-23,0,936000,2.7,38.6
C015419,50,Female, Boston,"$250,000",Single,3,8000,Bracelet,11-11-23,0,96000,6.2,69.32
C015456,22,Female, Sacramento,"$130,000",Married,3,72000,Locket,08-02-23,0,432000,5.1,59.52
C015463,22,Male, Fresno,"$180,000",Single,4,71000,Earrings,10-05-23,0,852000,5.1,58.53
C015582,36,Male, Los Angeles,"$50,000",Single,1,16000,Locket,17-10-23,0.07,64000,8.6,88.49
C015586,44,Male, Detroit,"$190,000",Single,1,22000,Necklace,03-11-23,0,88000,5,59.64
C015839,35,Female, Albuquerque,"$160,000",Married,2,29000,Earrings,17-11-23,0,58000,6.6,72.8
C015914,43,Female, El Paso,"$270,000",Married,6,235000,Ring,13-05-23,0,2820000,1.6,24.35
C015997,30,Male, San Antonio,"$50,000",Single,1,38000,Earrings,05-08-23,0.06,76000,7,75.38
C016046,54,Female, Portland,"$70,000",Married,1,1000,Jewel,07-02-23,0,2000,6,67.68
C016175,25,Male, San Jose,"$300,000",Single,4,299000,Bracelet,21-05-23,0,1196000,2.7,38.51
C016244,38,Female, Oklahoma City,"$240,000",Married,5,89000,Jewel,09-06-23,0.1,445000,6.7,72.68
C016286,51,Male, San Jose,"$150,000",Married,2,72000,Necklace,10-07-23,0,144000,6.2,68.88
C016378,24,Female, Dallas,"$110,000",Single,2,8000,Ring,14-04-23,0,32000,4.9,58.81
C016505,18,Female, Fort Worth,"$290,000",Married,4,4267,Bracelet,21-10-23,0,85340,5.6,64.69
C016649,47,Female, St Louis,"$270,000",Single,1,118000,Jewel,12-02-23,0,354000,7.1,75.64
C016660,54,Female, Milwaukee,"$170,000",Single,4,72000,Bracelet,13-11-23,0,1440000,5.4,59.41
C016739,22,Female, Jacksonville,"$190,000",Single,1,167000,Locket,08-11-23,0,501000,6.1,67.13
C016896,42,Male, Orlando,"$140,000",Single,1,82000,Jewel,04-10-23,0,246000,5.2,60.55
C016987,42,Male, Cincinnati,"$180,000",Married,1,63000,Ring,05-04-23,0,189000,5.4,62.52
C016999,32,Male, San Francisco,"$140,000",Married,2,56000,Locket,10-07-23,0,336000,6.2,68.67
C017086,44,Female, Atlanta,"$230,000",Married,5,31000,Jewel,31-05-23,0,620000,3.8,48.77
C017091,21,Male, Louisville,"$180,000",Single,1,115000,Earrings,14-03-23,0.02,460000,5.4,61.77
C017206,42,Female, Wichita,"$110,000",Single,2,84000,Armlet,19-09-23,0,504000,6,66.38
C017228,57,Female, St Louis,"$160,000",Married,2,120000,Ring,05-07-23,0.08,480000,6.8,72.64
C017245,29,Male, Oklahoma City,"$200,000",Married,2,3634,Armlet,22-08-23,0,36340,6,67.59
C017460,21,Male, Long Beach,"$160,000",Single,2,139000,Earrings,20-04-23,0,1112000,4.6,53.28
C017491,18,Female, Minneapolis,"$270,000",Married,2,8000,Armlet,14-10-23,0,32000,6.4,71.05
C017543,20,Male, San Antonio,"$70,000",Single,1,67000,Bracelet,18-08-23,0,268000,6.3,69.34
C017705,34,Male, Dallas,"$50,000",Single,1,5000,Pendant,08-12-23,0,25000,6.3,70.31
C017715,28,Female, Mesa,"$80,000",Married,2,2204,Necklace,22-08-23,0,13224,6,67.68
C017794,29,Female, Dallas,"$150,000",Married,2,89000,Armlet,27-06-23,0,178000,5.3,61.59
C017928,37,Male, New York,"$110,000",Single,2,16000,Pendant,18-08-23,0,160000,5.9,66.7
C017998,39,Male, Memphis,"$90,000",Single,2,69000,Locket,11-09-23,0.01,552000,6.7,71.98
C018208,60,Male, Charlotte,"$160,000",Married,1,21000,Armlet,10-07-23,0,42000,6.7,73.83
C018287,19,Male, Tulsa,"$50,000",Married,1,43000,Ring,25-07-23,0,129000,6.1,68.4
C018342,20,Male, San Antonio,"$260,000",Single,2,107000,Bracelet,24-11-23,0,856000,6.5,69.29
C018365,45,Female, Boston,"$180,000",Single,2,123000,Locket,30-07-23,0,246000,5.4,62.87
C018447,40,Male, Miami,"$220,000",Married,2,210000,Pendant,06-08-23,0,1260000,4.8,54.6
C018453,19,Female, Detroit,"$120,000",Married,2,10000,Earrings,07-06-23,0,100000,5.6,64.12
C018454,18,Female, Raleigh,"$60,000",Married,1,16000,Necklace,15-07-23,0.04,48000,7,76.25
C018494,41,Male, San Antonio,"$180,000",Married,4,39000,Necklace,09-01-23,0.01,468000,5.3,60.74
C018513,47,Male, Los Angeles,"$190,000",Married,2,12000,Pendant,16-03-23,0,120000,4.6,56.53
C018554,35,Male, Dallas,"$190,000",Single,1,34000,Armlet,13-09-23,0,34000,6.5,72.11
C018580,32,Male, Memphis,"$220,000",Married,3,171000,Earrings,13-07-23,0,513000,4.5,54.74
C018701,45,Male, Omaha,"$240,000",Married,1,166000,Armlet,12-12-23,0,830000,7.1,74.42
C018803,29,Male, Detroit,"$150,000",Single,3,3878,Armlet,07-04-23,0,46536,5.1,60.9
C018806,57,Female, Louisville,"$220,000",Single,5,73000,Necklace,05-10-23,0,730000,3.4,44.77
C018813,31,Male, Kansas City,"$150,000",Single,1,58000,Bracelet,28-07-23,0,116000,6.1,68.47
C018889,53,Female, Albuquerque,"$50,000",Married,1,42000,Necklace,13-04-23,0,126000,5.2,61.53
C018932,37,Male, Norfolk,"$290,000",Married,3,206000,Earrings,01-02-24,0,1854000,5.8,61.34
C018962,22,Female, Columbus,"$240,000",Single,2,154000,Pendant,30-12-23,0,616000,6.6,71.37
C018997,19,Male, Minneapolis,"$150,000",Married,2,130000,Armlet,16-10-23,0,260000,6.1,67.89
C019078,23,Male, San Francisco,"$90,000",Single,2,16000,Necklace,28-11-23,0.05,128000,8,83.61
C019486,41,Male, St Louis,"$60,000",Married,1,5000,Jewel,23-04-23,0,5000,5.4,62.94
C019579,55,Male, Riverside,"$300,000",Married,4,152000,Necklace,17-06-23,0,2432000,3.8,43.14
C019795,18,Female, Minneapolis,"$60,000",Married,1,49000,Earrings,27-09-23,0,98000,6.6,72.7
C019949,46,Female, Atlanta,"$160,000",Married,4,131000,Necklace,10-03-23,0,2096000,4.8,52.24
C019984,50,Female, Norfolk,"$120,000",Single,1,60000,Locket,17-09-23,0,300000,6.5,71.33
C020023,32,Male, Los Angeles,"$50,000",Married,1,20000,Jewel,17-10-23,0,60000,6.8,74.46
C020098,58,Male, Memphis,"$240,000",Married,3,106000,Ring,07-11-23,0,954000,4.8,55.45
C020295,59,Male, Philadelphia,"$300,000",Single,3,114000,Bracelet,04-01-23,0,342000,3.9,50.19
C020613,57,Female, Tampa,"$240,000",Single,1,221000,Jewel,28-10-23,0,884000,6.6,70.66
C020646,25,Female, Wichita,"$210,000",Married,1,1812,Jewel,29-05-23,0,3624,5.7,65.39
C020755,36,Male, Louisville,"$190,000",Single,2,127000,Necklace,23-04-23,0.03,1016000,5.4,60.02
C021111,27,Female, Tulsa,"$220,000",Married,4,29000,Pendant,24-03-23,0,580000,3.7,48.09
C021205,23,Male, San Antonio,"$100,000",Married,2,29000,Jewel,18-04-23,0,58000,4.8,58.55
